league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
GER-Bundesliga,2526,Borussia M.Gladbach,Florian Neuhaus,3,2025,130,7065,F M S,15,907,0,1.018887719605118,0,1.018887719605118,1,0.917197622358799,21,7,0,0,4.297209437936544,3.2098748423159122
GER-Bundesliga,2526,Borussia M.Gladbach,Franck Honorat,3,2025,130,3314,F M S,17,1316,0,0.7091672383248806,0,0.7091672383248806,5,5.191320400685072,13,32,0,0,6.7967776246368885,2.4974017962813377
GER-Bundesliga,2526,Borussia M.Gladbach,Giovanni Reyna,3,2025,130,8191,M S,13,384,0,0.23864140175282955,0,0.23864140175282955,0,0.724905208684504,5,6,1,0,1.977822589688003,1.1667945869266987
GER-Bundesliga,2526,Borussia M.Gladbach,Grant-Leon Ranos,3,2025,130,11847,S,8,89,1,0.5348599851131439,1,0.5348599851131439,0,0.08121008425951004,4,1,1,0,0.5956991165876389,0.057218391448259354
GER-Bundesliga,2526,Borussia M.Gladbach,Haris Tabakovic,3,2025,130,13013,F S,22,1656,11,11.602308943867683,11,10.086755529046059,2,1.277291039004922,48,10,0,0,8.222014157101512,1.3541424218565226
GER-Bundesliga,2526,Borussia M.Gladbach,Hugo Bolin,3,2025,130,14428,M S,3,91,0,0.08882727473974228,0,0.08882727473974228,0,0.15849784016609192,2,2,0,0,0.703143797814846,0.48174142837524414
GER-Bundesliga,2526,Borussia M.Gladbach,Jan Urbich,3,2025,130,14121,S,3,28,0,0.0,0,0.0,0,0.027196358889341354,0,1,0,0,0.13196995854377747,0.10477359592914581
GER-Bundesliga,2526,Borussia M.Gladbach,Jens Castrop,3,2025,130,13919,D M S,18,969,1,2.0829410701990128,1,2.0829410701990128,0,1.0208190381526947,15,10,1,1,5.042723063379526,2.9446572307497263
GER-Bundesliga,2526,Borussia M.Gladbach,Joe Scally,3,2025,130,9674,D S,21,1642,1,2.498599768616259,1,2.498599768616259,2,0.9099041987210512,13,8,5,0,6.759453426115215,4.691445702686906
GER-Bundesliga,2526,Borussia M.Gladbach,Kevin Diks,3,2025,130,1427,D S,20,1687,3,2.9693579506129026,0,0.6960278823971748,0,0.5047725439071655,14,4,5,0,5.659638907760382,4.976999208331108
GER-Bundesliga,2526,Borussia M.Gladbach,Kevin Stöger,3,2025,130,7058,M S,18,675,0,1.5603513345122337,0,0.8025746569037437,1,1.3522737128660083,11,18,1,0,3.3188438806682825,2.145853281021118
GER-Bundesliga,2526,Borussia M.Gladbach,Kota Takai,3,2025,130,14279,D S,6,326,0,0.4108753725886345,0,0.4108753725886345,0,0.03324531391263008,3,2,1,0,1.190738558769226,0.8015755638480186
GER-Bundesliga,2526,Borussia M.Gladbach,Luca Netz,3,2025,130,8401,D S,15,937,0,0.03837163746356964,0,0.03837163746356964,2,2.4323443844914436,2,10,1,0,3.8024985706433654,3.305356069467962
GER-Bundesliga,2526,Borussia M.Gladbach,Lukas Ullrich,3,2025,130,11991,D M S,16,1065,0,0.34624816104769707,0,0.34624816104769707,0,0.8623805642127991,7,13,2,0,4.124884761869907,3.2559778690338135
